STATION NAME,AGENCY,NO. OF PLUGS,TYPE OF CHARGER,ADDRESS,CITY,POSTCODE,BOROUGH,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
NYC FLEET / DOC_CHAPEL_2_L3,DOC,1,Level 3 Fast Charger,16-16 Hazen St,Queens,11370,Queens,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOC_CHAPEL_3_L3,DOC,1,Level 3 Fast Charger,16-16 Hazen St,Queens,11370,Queens,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOC_CHAPEL_4_L3,DOC,1,Level 3 Fast Charger,16-16 Hazen St,Queens,11370,Queens,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOC_CHAPEL_5_L3,DOC,1,Level 3 Fast Charger,16-16 Hazen St,Queens,11370,Queens,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOC_CHAPEL_6_L3,DOC,1,Level 3 Fast Charger,16-16 Hazen St,Queens,11370,Queens,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOC_CHAPEL-1,DOC,2,Level 2 Charger,12-00 Hazen Street,East Elmhurst,11370,Queens,40.793765,-73.884156,401,22,1,,,QN0151
NYC FLEET / DOC_CHAPEL-S1,DOC,1,EV Solar Arc Charger,15-0 Hazen St,East Elmhurst,11370,Queens,40.790985,-73.884396,401,22,1,2116652,2026050040,QN0151
NYC FLEET / DOC_DCFLEET,DOC,2,Level 2 Charger,15 Hazen St,Queens,11370,Bronx,,,,,,,,
NYC FLEET / DOC_DCJC,DOC,2,Level 2 Charger,Rikers Island,East Elmhurst,11370,Queens,40.790576,-73.881894,401,22,1,2000000,2026050040,QN0151
NYC FLEET / DOC_DIVISION-1,DOC,2,Level 2 Charger,30 N Perimeter Rd,Bronx,11320,Bronx,,,,,,,,
NYC FLEET / DOC_DIVISION-2,DOC,2,Level 2 Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOC_EMTC-1,DOC,2,Level 2 Charger,10- 10 Hazen St,Queens,11370,Bronx,40.793474,-73.884161,401,22,1,2116651,2026050040,QN0151
NYC FLEET / DOC_ENVHEALTH,DOC,2,Level 2 Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
